problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,split_method,split_fraction,num_subproblems,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,1.0,16,4,True,inv-cap,total_flow,1000.3094690794096,0.028831958770751953
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.25,16,4,True,inv-cap,total_flow,32998.5481289476,0.1342620849609375
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,0,16,4,True,inv-cap,total_flow,7992.431522491388,0.02956986427307129
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.5,16,4,True,inv-cap,total_flow,33020.7369527966,0.15965795516967773
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.75,16,4,True,inv-cap,total_flow,33064.77437014878,0.2216639518737793
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,0.25,16,4,True,inv-cap,total_flow,7992.431522491388,0.04427695274353027
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,1.0,16,4,True,inv-cap,total_flow,33067.29581977427,0.2308051586151123
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,0.5,16,4,True,inv-cap,total_flow,7992.431522491388,0.04571700096130371
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0,16,4,True,inv-cap,total_flow,60212.00999578055,0.023901939392089844
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,0.75,16,4,True,inv-cap,total_flow,7992.431522491388,0.06935811042785645
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.25,16,4,True,inv-cap,total_flow,161774.85581246225,0.02868795394897461
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,1.0,16,4,True,inv-cap,total_flow,7992.431522491388,0.06093287467956543
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.5,16,4,True,inv-cap,total_flow,167597.08055561292,0.04283499717712402
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.75,16,4,True,inv-cap,total_flow,169389.1537581301,0.04157209396362305
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0,16,4,True,inv-cap,total_flow,21913.43644968184,0.08206009864807129
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,1.0,16,4,True,inv-cap,total_flow,169400.721536257,0.03941512107849121
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.25,16,4,True,inv-cap,total_flow,22003.727064764127,0.11294102668762207
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0,16,4,True,inv-cap,total_flow,49721.852616275755,0.013103961944580078
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.5,16,4,True,inv-cap,total_flow,22067.50807228498,0.16558003425598145
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.25,16,4,True,inv-cap,total_flow,84877.3237368754,0.021207094192504883
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.5,16,4,True,inv-cap,total_flow,84891.29875185431,0.02214193344116211
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.75,16,4,True,inv-cap,total_flow,22128.374085775395,0.16991615295410156
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.75,16,4,True,inv-cap,total_flow,84891.29875280798,0.021684885025024414
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,1.0,16,4,True,inv-cap,total_flow,22131.65682619625,0.19861888885498047
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,1.0,16,4,True,inv-cap,total_flow,84891.29875280798,0.02639293670654297
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0,16,4,True,inv-cap,total_flow,4016.5254356889054,0.014103889465332031
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0,16,4,True,inv-cap,total_flow,71890.14993603274,0.017271995544433594
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.25,16,4,True,inv-cap,total_flow,211866.6469189097,0.016541004180908203
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.25,16,4,True,inv-cap,total_flow,4016.5254356889054,0.01330113410949707
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.5,16,4,True,inv-cap,total_flow,289946.1520608082,0.04252290725708008
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.5,16,4,True,inv-cap,total_flow,4016.5254356889054,0.023272991180419922
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.75,16,4,True,inv-cap,total_flow,301633.8194452858,0.03651595115661621
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.75,16,4,True,inv-cap,total_flow,4016.5254356889054,0.01965188980102539
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,1.0,16,4,True,inv-cap,total_flow,301892.8774312648,0.05142402648925781
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,1.0,16,4,True,inv-cap,total_flow,4016.5254356889054,0.01801609992980957
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0,16,4,True,inv-cap,total_flow,88474.73129229914,0.019631147384643555
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.25,16,4,True,inv-cap,total_flow,220184.67015926694,0.009805917739868164
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0,16,4,True,inv-cap,total_flow,32779.29119808972,0.0950160026550293
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.5,16,4,True,inv-cap,total_flow,373250.0,0.011149883270263672
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.25,16,4,True,inv-cap,total_flow,32956.900838449605,0.13940000534057617
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.75,16,4,True,inv-cap,total_flow,386000.0,0.010583162307739258
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.5,16,4,True,inv-cap,total_flow,33001.92185504736,0.14995217323303223
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,1.0,16,4,True,inv-cap,total_flow,386000.0,0.01002192497253418
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0,16,4,True,inv-cap,total_flow,21222.843136713633,0.007503986358642578
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.75,16,4,True,inv-cap,total_flow,33046.954897686825,0.21339797973632812
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.25,16,4,True,inv-cap,total_flow,21222.843136713633,0.006178855895996094
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,1.0,16,4,True,inv-cap,total_flow,33070.107724264264,0.2763669490814209
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.5,16,4,True,inv-cap,total_flow,21222.843136713633,0.008643865585327148
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0,16,4,True,inv-cap,total_flow,60392.71435824381,0.01596689224243164
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.75,16,4,True,inv-cap,total_flow,21222.843136356005,0.006134986877441406
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.25,16,4,True,inv-cap,total_flow,162257.03022121612,0.02791619300842285
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,1.0,16,4,True,inv-cap,total_flow,21222.843136594423,0.005839824676513672
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.5,16,4,True,inv-cap,total_flow,167192.52013147512,0.037719011306762695
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0,16,4,True,inv-cap,total_flow,82933.73347379043,0.018709897994995117
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.75,16,4,True,inv-cap,total_flow,169299.4846922186,0.03581118583679199
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.25,16,4,True,inv-cap,total_flow,217907.42071804128,0.009948015213012695
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,1.0,16,4,True,inv-cap,total_flow,169394.64600341197,0.04442095756530762
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.5,16,4,True,inv-cap,total_flow,372875.0,0.010536909103393555
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0,16,4,True,inv-cap,total_flow,50199.043777528146,0.013450145721435547
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.75,16,4,True,inv-cap,total_flow,386000.0,0.019852876663208008
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.25,16,4,True,inv-cap,total_flow,84891.08158246832,0.020657062530517578
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,1.0,16,4,True,inv-cap,total_flow,386000.0,0.010530948638916016
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.5,16,4,True,inv-cap,total_flow,84885.55674753562,0.021309852600097656
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,0,16,4,True,inv-cap,total_flow,77495.13341107545,0.017130136489868164
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.75,16,4,True,inv-cap,total_flow,84891.29875376166,0.036702871322631836
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,0.25,16,4,True,inv-cap,total_flow,216997.00210683272,0.018920183181762695
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,1.0,16,4,True,inv-cap,total_flow,84891.29875328482,0.0213930606842041
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,0.5,16,4,True,inv-cap,total_flow,372062.5,0.029455184936523438
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0,16,4,True,inv-cap,total_flow,71128.01039893273,0.018037080764770508
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,0.75,16,4,True,inv-cap,total_flow,385930.02308654785,0.01633906364440918
GtsCe.graphml,149,386,1097464667,poisson,32.0,11134,679142.125,pop,random,1.0,16,4,True,inv-cap,total_flow,385964.9870452881,0.024226903915405273
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.25,16,4,True,inv-cap,total_flow,210738.1198570698,0.01635885238647461
GtsCe.graphml,149,386,1045673165,poisson,2.0,11176,42445.6875,pop,random,0,16,4,True,inv-cap,total_flow,38589.472634414924,0.01994800567626953
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.5,16,4,True,inv-cap,total_flow,290142.4472315991,0.028451919555664062
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.75,16,4,True,inv-cap,total_flow,301623.61307817453,0.034845829010009766
GtsCe.graphml,149,386,1045673165,poisson,2.0,11176,42445.6875,pop,random,0.25,16,4,True,inv-cap,total_flow,42445.68888826787,0.014695882797241211
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,1.0,16,4,True,inv-cap,total_flow,301695.35857688705,0.03278803825378418
GtsCe.graphml,149,386,1045673165,poisson,2.0,11176,42445.6875,pop,random,0.5,16,4,True,inv-cap,total_flow,42445.68888826787,0.03052997589111328
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0,16,4,True,inv-cap,total_flow,88970.25057457719,0.031372785568237305
GtsCe.graphml,149,386,1045673165,poisson,2.0,11176,42445.6875,pop,random,0.75,16,4,True,inv-cap,total_flow,42445.68888922154,0.02873516082763672
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.25,16,4,True,inv-cap,total_flow,219253.47028628597,0.009699106216430664
